iter	Passed	Remaining
650	8989	4819
651	9001	4804
652	9012	4789
653	9024	4774
654	9037	4760
655	9050	4746
656	9062	4731
657	9074	4716
658	9086	4702
659	9099	4687
660	9111	4672
661	9122	4657
662	9135	4643
663	9148	4629
664	9162	4615
665	9176	4602
666	9191	4589
667	9205	4575
668	9219	4561
669	9233	4547
670	9245	4533
671	9257	4518
672	9269	4504
673	9281	4489
674	9293	4474
675	9305	4460
676	9317	4445
677	9329	4430
678	9341	4416
679	9354	4402
680	9365	4387
681	9377	4372
682	9389	4357
683	9402	4343
684	9413	4329
685	9425	4314
686	9438	4300
687	9452	4286
688	9468	4273
689	9482	4260
690	9495	4246
691	9510	4232
692	9523	4218
693	9535	4204
694	9547	4189
695	9558	4175
696	9571	4160
697	9582	4145
698	9593	4131
699	9605	4116
700	9616	4101
701	9628	4087
702	9640	4072
703	9652	4058
704	9664	4044
705	9676	4029
706	9688	4015
707	9700	4000
708	9712	3986
709	9724	3971
710	9736	3957
711	9751	3944
712	9767	3931
713	9781	3918
714	9795	3904
715	9809	3890
716	9823	3877
717	9835	3863
718	9847	3848
719	9860	3834
720	9872	3820
721	9884	3806
722	9896	3791
723	9908	3777
724	9919	3762
725	9931	3748
726	9943	3733
727	9954	3719
728	9965	3704
729	9977	3690
730	9989	3675
731	10001	3661
732	10012	3647
733	10024	3632
734	10036	3618
735	10048	3604
736	10063	3591
737	10076	3577
738	10089	3563
739	10102	3549
740	10116	3536
741	10129	3522
742	10142	3508
743	10153	3493
744	10165	3479
745	10178	3465
746	10190	3451
747	10202	3437
748	10214	3422
749	10226	3408
750	10239	3394
751	10250	3380
752	10262	3366
753	10274	3352
754	10286	3337
755	10298	3323
756	10309	3309
757	10321	3295
758	10332	3280
759	10346	3267
760	10360	3253
761	10376	3241
762	10391	3227
763	10405	3214
764	10419	3200
765	10432	3186
766	10444	3172
767	10455	3158
768	10467	3144
769	10478	3130
770	10490	3115
771	10502	3101
772	10514	3087
773	10525	3073
774	10537	3059
775	10549	3045
776	10564	3032
777	10577	3018
778	10589	3004
779	10600	2989
780	10611	2975
781	10624	2961
782	10635	2947
783	10647	2933
784	10660	2919
785	10674	2906
786	10687	2892
787	10701	2879
788	10715	2865
789	10729	2852
790	10742	2838
791	10754	2824
792	10766	2810
793	10780	2796
794	10791	2782
795	10803	2768
796	10815	2754
797	10827	2740
798	10838	2726
799	10850	2712
800	10863	2698
801	10875	2684
802	10887	2671
803	10899	2657
804	10910	2642
805	10923	2629
806	10935	2615
807	10946	2601
808	10960	2587
809	10973	2574
810	10987	2560
811	11000	2546
812	11013	2533
813	11027	2519
814	11040	2506
815	11054	2492
816	11065	2478
817	11077	2464
818	11089	2450
819	11101	2436
820	11113	2423
821	11125	2409
822	11136	2395
823	11147	2381
824	11159	2367
825	11170	2353
826	11183	2339
827	11194	2325
828	11207	2311
829	11220	2298
830	11232	2284
831	11244	2270
832	11256	2256
833	11269	2243
834	11282	2229
835	11296	2216
836	11310	2202
837	11323	2189
838	11336	2175
839	11348	2161
840	11361	2147
841	11372	2133
842	11384	2120
843	11397	2106
844	11409	2092
845	11422	2079
846	11434	2065
847	11445	2051
848	11457	2037
849	11469	2023
850	11481	2010
851	11493	1996
852	11505	1982
853	11516	1968
854	11530	1955
855	11542	1941
856	11555	1928
857	11569	1914
858	11582	1901
859	11595	1887
860	11609	1874
861	11623	1860
862	11637	1847
863	11650	1833
864	11662	1820
865	11673	1806
866	11685	1792
867	11696	1778
868	11709	1765
869	11720	1751
870	11732	1737
871	11744	1723
872	11757	1710
873	11768	1696
874	11780	1682
875	11791	1669
876	11803	1655
877	11815	1641
878	11826	1628
879	11838	1614
880	11849	1600
881	11862	1587
882	11874	1573
883	11888	1560
884	11901	1546
885	11914	1533
886	11928	1519
887	11941	1506
888	11953	1492
889	11966	1478
890	11977	1465
891	11989	1451
892	12001	1438
893	12013	1424
894	12024	1410
895	12037	1397
896	12049	1383
897	12060	1369
898	12072	1356
899	12084	1342
900	12096	1329
901	12107	1315
902	12118	1301
