latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.44539,94.95128,342.23,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,306.16,9.12,D
18.44952,94.95042,330.63,0.42,0.45,2026-02-14,635,N,low,2.0NRT,302.63,3.94,D
18.61781,95.82858,338.81,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,309.93,30.41,D
18.61689,95.82348,312.91,0.55,0.43,2026-02-14,635,N,low,2.0NRT,313.12,27.95,D
18.54952,95.31248,335.54,0.4,0.44,2026-02-14,635,N,low,2.0NRT,308.36,3.93,D
18.65772,95.84885,333.73,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,303.78,3.38,D
18.64735,95.79022,344.43,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,312.29,6.81,D
18.65681,95.84631,330.26,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,303.65,3.07,D
18.64603,95.78776,341.66,0.55,0.43,2026-02-14,635,N,low,2.0NRT,312.66,5.23,D
18.66757,95.77273,336.94,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,310.64,3.95,D
18.6647,95.75704,335.76,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,308.88,2.97,D
18.68305,95.81323,340.27,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,308.66,4.62,D
18.66486,95.71346,338.55,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,312.72,4.19,D
18.53667,94.95115,335.4,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,307.03,2.42,D
18.85122,96.57786,352.93,0.5,0.41,2026-02-14,635,N,nominal,2.0NRT,309.9,10.69,D
18.71734,95.77935,348.14,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,307.8,11.66,D
18.70978,95.73724,349.1,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,314.47,4.97,D
18.7137,95.7365,337.02,0.56,0.43,2026-02-14,635,N,low,2.0NRT,309.73,4.97,D
18.60498,95.13705,352.54,0.4,0.44,2026-02-14,635,N,nominal,2.0NRT,315.06,9.78,D
18.60905,95.13622,367.0,0.4,0.44,2026-02-14,635,N,high,2.0NRT,315.51,6.15,D
18.60974,95.14002,343.32,0.4,0.44,2026-02-14,635,N,nominal,2.0NRT,313.24,6.15,D
18.60766,95.12861,354.69,0.4,0.45,2026-02-14,635,N,nominal,2.0NRT,315.69,16.64,D
18.61381,95.13919,343.66,0.4,0.44,2026-02-14,635,N,nominal,2.0NRT,313.05,6.15,D
18.61242,95.13158,342.54,0.4,0.45,2026-02-14,635,N,nominal,2.0NRT,313.42,16.64,D
18.61172,95.12778,356.28,0.4,0.45,2026-02-14,635,N,nominal,2.0NRT,313.71,16.64,D
18.61787,95.13837,353.52,0.4,0.44,2026-02-14,635,N,nominal,2.0NRT,320.39,12.84,D
18.61718,95.13456,355.88,0.4,0.44,2026-02-14,635,N,nominal,2.0NRT,315.2,12.84,D
18.61649,95.13076,340.94,0.4,0.45,2026-02-14,635,N,nominal,2.0NRT,310.4,3.09,D
18.86078,96.47787,336.02,0.51,0.41,2026-02-14,635,N,low,2.0NRT,310.02,3.05,D
18.74744,95.81216,335.68,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,306.72,3.59,D
18.72778,95.67902,343.92,0.56,0.43,2026-02-14,635,N,low,2.0NRT,314.32,6.64,D
18.65603,95.27934,337.39,0.4,0.44,2026-02-14,635,N,nominal,2.0NRT,306.84,2.28,D
18.74673,95.76272,344.65,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,311.23,7.33,D
18.75064,95.76193,337.6,0.55,0.43,2026-02-14,635,N,low,2.0NRT,309.06,7.33,D
18.74998,95.76042,336.56,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,310.78,4.75,D
18.7656,95.77933,334.6,0.55,0.43,2026-02-14,635,N,low,2.0NRT,308.4,4.99,D
18.68821,95.3158,348.45,0.39,0.44,2026-02-14,635,N,nominal,2.0NRT,312.55,4.15,D
18.77537,95.76639,334.11,0.55,0.43,2026-02-14,635,N,low,2.0NRT,307.77,2.67,D
18.77462,95.69569,335.97,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,310.58,3.51,D
18.63658,94.94847,341.17,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,307.92,3.66,D
18.62522,94.88775,334.11,0.42,0.45,2026-02-14,635,N,low,2.0NRT,306.58,5.23,D
18.6561,94.98458,341.78,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,308.19,4.05,D
18.66768,94.9782,354.22,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,311.41,7.32,D
18.7858,95.60033,338.0,0.57,0.43,2026-02-14,635,N,nominal,2.0NRT,312.85,4.89,D
18.67251,94.98129,339.17,0.41,0.45,2026-02-14,635,N,low,2.0NRT,309.56,3.68,D
18.67179,94.97738,344.4,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,308.1,5.02,D
18.75852,95.42748,346.43,0.39,0.44,2026-02-14,635,N,nominal,2.0NRT,314.46,3.81,D
18.69559,95.06046,341.88,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,310.82,4.55,D
18.69488,95.05659,347.41,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,313.36,4.55,D
18.69897,95.05582,335.61,0.41,0.45,2026-02-14,635,N,low,2.0NRT,309.61,4.55,D
18.72829,95.05421,347.29,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,309.72,5.32,D
18.83955,95.64998,340.26,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,312.97,6.01,D
18.8538,95.70733,347.85,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,311.05,4.94,D
18.86429,95.74369,339.83,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,308.78,7.12,D
18.86308,95.74117,335.42,0.55,0.43,2026-02-14,635,N,low,2.0NRT,308.71,6.96,D
18.8825,95.7589,346.4,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,314.41,28.12,D
18.88641,95.75819,367.0,0.55,0.43,2026-02-14,635,N,high,2.0NRT,317.0,28.12,D
18.8874,95.76357,335.78,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,310.48,5.95,D
18.88544,95.75288,352.98,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,310.83,28.12,D
18.85351,95.57847,341.3,0.57,0.43,2026-02-14,635,N,nominal,2.0NRT,314.0,6.23,D
18.8923,95.76833,337.73,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,309.71,5.95,D
18.89134,95.76303,346.59,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,311.48,5.95,D
18.89033,95.75751,344.84,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,310.85,10.16,D
18.8555,95.56705,346.59,0.57,0.43,2026-02-14,635,N,nominal,2.0NRT,315.18,6.35,D
18.89991,95.78799,350.3,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,308.85,15.93,D
18.89622,95.76765,345.82,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,308.0,5.95,D
18.85944,95.56625,345.32,0.57,0.43,2026-02-14,635,N,nominal,2.0NRT,311.14,6.35,D
19.09142,96.83942,330.96,0.48,0.4,2026-02-14,635,N,nominal,2.0NRT,300.38,5.82,D
18.91338,95.81779,334.24,0.55,0.42,2026-02-14,635,N,nominal,2.0NRT,306.48,6.21,D
18.76617,94.97035,344.33,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,309.95,8.23,D
18.77098,94.97336,341.91,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,308.97,4.69,D
18.77027,94.96954,351.88,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,309.38,4.69,D
18.76957,94.96575,341.24,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,309.61,6.67,D
18.76813,94.95799,340.94,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,308.92,1.89,D
19.11489,96.7783,331.56,0.48,0.4,2026-02-14,635,N,nominal,2.0NRT,299.59,5.98,D
18.93517,95.75993,335.74,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,304.43,6.19,D
18.77558,94.83667,331.16,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,305.53,3.57,D
18.77424,94.82938,342.27,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,304.35,3.52,D
18.91582,95.51603,336.6,0.57,0.43,2026-02-14,635,N,nominal,2.0NRT,311.08,5.41,D
18.82222,94.95155,341.73,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,309.71,3.23,D
18.82687,94.93031,342.21,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,308.07,3.05,D
18.82481,94.95098,341.46,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,309.95,2.91,D
18.82522,94.9306,333.61,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,307.39,1.74,D
18.82932,94.92978,335.97,0.41,0.45,2026-02-14,635,N,low,2.0NRT,308.54,3.4,D
18.83828,94.93211,338.61,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,308.57,3.42,D
19.17489,96.71591,332.83,0.49,0.4,2026-02-14,635,N,nominal,2.0NRT,300.75,3.82,D
18.99035,95.68604,336.87,0.56,0.43,2026-02-14,635,N,low,2.0NRT,308.95,6.45,D
18.86691,94.90296,342.91,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,306.37,5.57,D
18.94396,95.27507,341.27,0.39,0.44,2026-02-14,635,N,nominal,2.0NRT,311.26,2.0,D
18.87282,94.86586,333.08,0.41,0.45,2026-02-14,635,N,low,2.0NRT,304.02,1.75,D
19.02226,95.54787,347.51,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,313.73,12.17,D
19.0262,95.54709,339.31,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,309.1,5.75,D
19.03972,95.59983,341.12,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,312.09,9.32,D
19.05692,95.67353,346.81,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,314.37,14.86,D
18.92455,94.93882,344.31,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,309.27,5.09,D
